date,adjclose
2000-01-04,-0.03909917534093802
2000-01-05,0.0019203379615859075
2000-01-06,0.0009552217400569889
2000-01-07,0.02672994972987063
2000-01-10,0.011127824873139451
2000-01-11,-0.013148576788902815
2000-01-12,-0.004396019678609715
2000-01-13,0.012096245165416932
2000-01-14,0.010614763497340866
2000-01-18,-0.006855516976735141
2000-01-19,0.0005221568736222691
2000-01-20,-0.007120612569861287
2000-01-21,-0.0029165681339535805
2000-01-24,-0.028022584228459112
2000-01-25,0.006046483603040547
2000-01-26,-0.004221619766667546
2000-01-27,-0.003946204024482488
2000-01-28,-0.02784081272973308
2000-01-31,0.024904850529124643
2000-02-01,0.010571740915406745
2000-02-02,-0.00011356385074743024
2000-02-03,0.011185347697919614
2000-02-04,-0.00042113303572190804
2000-02-07,-9.12760143166444e-05
2000-02-08,0.01219849367259354
2000-02-09,-0.02103511705975112
2000-02-10,0.00362024285277645
2000-02-11,-0.021192298989189638
2000-02-14,0.0020308868535491302
2000-02-15,0.008674947553079746
2000-02-16,-0.010309372816680578
2000-02-17,0.0004250581374747612
2000-02-18,-0.03084710308169203
2000-02-22,0.004506673481115292
2000-02-23,0.006281139106337607
2000-02-24,-0.005349730316245383
2000-02-25,-0.014940089385435541
2000-02-28,0.010957078745980514
2000-02-29,0.013535073096645703
2000-03-01,0.009302114728482016
2000-03-02,0.0018617281349938522
2000-03-03,0.019642853797381482
2000-03-06,-0.012776701994211102
2000-03-07,-0.025965297120289534
2000-03-08,0.008140128606934442
2000-03-09,0.025279570403423504
2000-03-10,-0.004734054939684533
2000-03-13,-0.008241305233129576
2000-03-14,-0.017843727175416074
2000-03-15,0.023982619773033384
2000-03-16,0.04654577885905088
2000-03-17,0.004105461314759303
2000-03-20,-0.005367830413634725
2000-03-21,0.025244513080495853
2000-03-22,0.004521628609461416
2000-03-23,0.017642498044501166
2000-03-24,7.200798340682352e-05
2000-03-27,-0.002359619652895298
2000-03-28,-0.010641384406600805
2000-03-29,0.0005238551715322017
2000-03-30,-0.013749849620433678
2000-03-31,0.007138762685515928
